"Course_number","Course_name","Permanent_course_number","Credits","Teacher"
"1122_110051","健康照護數位轉型講座","MDMD00007","2.00","陳麗芬、童恒新、曾意儒"
"1122_110052","數位醫學專題研究","MDMD00008","3.00","陳麗芬、曾意儒、嚴錦城"
"1122_110053","臨床醫學概論","MDMD00003","2.00","黃怡翔、陳涵栩、林志慶、陽光耀、張世霖、林邑璁、李懿宬、方文良、陳明晃、王心儀、李政源、吳致緯、齊振達、蔡弘正、蕭樑材"
"1122_110054","核心內科講堂","MDMD20134","1.00","黃怡翔"
"1122_110055","臨床病例及病理討論","MDMD20236","1.00","黃怡翔"
"1122_110056","核心外科講堂","MDMD20133","1.00","張世慶"
"1122_110057","婦產科學","MDMD20049","2.00","陳怡仁"
"1122_110058","小兒科學","MDMD20068","2.00","張瑞文、鄭玫枝、楊令瑀、陳燕彰、王馨慧、楊佳鳳、賴昭誠、洪君儀、李昱聲、林建宏、顏秀如、許庭榕、曹珮真、張詠森、洪妙秋、林為聖、陳威宇、李星原、李致穎、黃清?"
"1122_110059","核心實習訓練(內科)","MDMD20139","12.00","黃怡翔"
"1122_110060","核心實習訓練(外科)","MDMD20135","12.00","張世慶"
"1122_110061","核心實習訓練(婦產科)","MDMD20138","6.00","陳怡仁"
"1122_110062","核心實習訓練(兒科)","MDMD20136","6.00","張瑞文、楊令瑀"
"1122_110063","核心實習訓練(影像診斷學)","MDMD20140","4.00","凌憬峰"
"1122_110064","核心實習訓練(高齡醫學)","MDMD20144","1.00","陳亮恭"
"1122_110065","核心實習訓練(家庭醫學科)","MDMD20142","1.00","陳育群"
"1122_110066","核心實習訓練(精神科)","MDMD20143","2.00","白雅美"
"1122_110067","核心實習訓練(神經內科)","MDMD20137","2.00","紀乃方"
"1122_110068","核心實習訓練(骨科)","MDMD20141","2.00","吳博貴"
"1122_110069","醫用台語","MDMD10109","1.00","林良儒、凌憬峰"
"1122_110070","醫病關係討論團體(巴林團體)","MDMD20289","0.50","陳冠宇"
"1122_110071","婦產科臨床實習(一)","MDMD20050","2.00","婦產學科"
"1122_110072","婦產科臨床實習(二)","MDMD20269","2.00","婦產學科"
"1122_110073","婦產科臨床實習(三)","MDMD20270","2.00","婦產學科"
"1122_110074","婦產科臨床實習","MDMD20052","6.00","婦產學科"
"1122_110075","小兒科臨床實習(一)","MDMD20069","2.00","小兒學科"
"1122_110076","小兒科臨床實習(二)","MDMD20271","2.00","小兒學科"
"1122_110077","小兒科臨床實習(三)","MDMD20272","2.00","小兒學科"
"1122_110078","小兒科臨床實習(四)","MDMD20345","2.00","小兒學科"
"1122_110079","小兒科臨床實習","MDMD20071","6.00","小兒學科"
"1122_110080","精神科臨床實習(一)","MDMD20194","2.00","精神學科"
"1122_110081","精神科臨床實習(二)","MDMD20273","2.00","精神學科"
"1122_110082","精神科臨床實習(三)","MDMD20274","2.00","精神學科"
"1122_110083","神經科臨床實習(一)","MDMD20187","2.00","神經學科"
"1122_110084","神經科臨床實習(二)","MDMD20275","2.00","神經學科"
"1122_110085","神經科臨床實習(三)","MDMD20276","2.00","神經學科"
"1122_110086","胸腔科臨床實習(一)","MDMD20215","2.00","內科學科"
"1122_110087","胸腔科臨床實習(二)","MDMD20277","2.00","內科學科"
"1122_110088","胸腔科臨床實習(三)","MDMD20278","2.00","內科學科"
"1122_110089","心臟科臨床實習(一)","MDMD20089","2.00","內科學科"
"1122_110090","心臟科臨床實習(二)","MDMD20283","2.00","內科學科"
"1122_110091","心臟科臨床實習(三)","MDMD20284","2.00","內科學科"
"1122_110092","腎臟科臨床實習(一)","MDMD20222","2.00","內科學科"
"1122_110093","腎臟科臨床實習(二)","MDMD20285","2.00","內科學科"
"1122_110094","腎臟科臨床實習(三)","MDMD20286","2.00","內科學科"
"1122_110095","新陳代謝科臨床實習(一)","MDMD20122","2.00","內科學科"
"1122_110096","新陳代謝科臨床實習(二)","MDMD20287","2.00","內科學科"
"1122_110097","新陳代謝科臨床實習(三)","MDMD20288","2.00","內科學科"
"1122_110098","腸胃科臨床實習(一)","MDMD20228","2.00","內科學科"
"1122_110099","腸胃科臨床實習(二)","MDMD20290","2.00","內科學科"
"1122_110100","腸胃科臨床實習(三)","MDMD20291","2.00","內科學科"
"1122_110101","感染科臨床實習(一)","MDMD20101","2.00","內科學科"
"1122_110102","感染科臨床實習(二)","MDMD20292","2.00","內科學科"
"1122_110103","感染科臨床實習(三)","MDMD20293","2.00","內科學科"
"1122_110104","免疫風濕科臨床實習(一)","MDMD20019","2.00","內科學科"
"1122_110105","免疫風濕科臨床實習(二)","MDMD20294","2.00","內科學科"
"1122_110106","免疫風濕科臨床實習(三)","MDMD20295","2.00","內科學科"
"1122_110107","血液腫瘤科臨床實習(一)","MDMD20240","2.00","內科學科"
"1122_110108","血液腫瘤科臨床實習(二)","MDMD20296","2.00","內科學科"
"1122_110109","血液腫瘤科臨床實習(三)","MDMD20297","2.00","內科學科"
"1122_110110","毒物科臨床實習(一)","MDMD20148","2.00","內科學科"
"1122_110111","毒物科臨床實習(二)","MDMD20298","2.00","內科學科"
"1122_110112","毒物科臨床實習(三)","MDMD20299","2.00","內科學科"
"1122_110113","一般內科臨床實習(一)","MDMD20009","2.00","內科學科"
"1122_110114","一般內科臨床實習(二)","MDMD20267","2.00","內科學科"
"1122_110115","一般內科臨床實習(三)","MDMD20268","2.00","內科學科"
"1122_110116","內科加護病房臨床實習(一)","MDMD20026","2.00","內科學科"
"1122_110117","內科加護病房臨床實習(二)","MDMD20300","2.00","內科學科"
"1122_110118","內科加護病房臨床實習(三)","MDMD20301","2.00","內科學科"
"1122_110119","骨科臨床實習(一)","MDMD20255","2.00","骨科學科"
"1122_110120","骨科臨床實習(二)","MDMD20279","2.00","骨科學科"
"1122_110121","骨科臨床實習(三)","MDMD20280","2.00","骨科學科"
"1122_110122","急診科臨床實習(一)","MDMD20097","2.00","急診醫學科"
"1122_110123","急診科臨床實習(二)","MDMD20281","2.00","急診醫學科"
"1122_110124","急診科臨床實習(三)","MDMD20282","2.00","急診醫學科"
"1122_110125","老年醫學臨床實習(一)","MDMD20197","2.00","高齡醫學科"
"1122_110126","老年醫學臨床實習(二)","MDMD20302","2.00","高齡醫學科"
"1122_110127","老年醫學臨床實習(三)","MDMD20303","2.00","高齡醫學科"
"1122_110128","胸腔外科臨床實習(一)","MDMD20209","2.00","外科學科"
"1122_110129","胸腔外科臨床實習(二)","MDMD20304","2.00","外科學科"
"1122_110130","胸腔外科臨床實習(三)","MDMD20305","2.00","外科學科"
"1122_110131","一般外科臨床實習(一)","MDMD20003","2.00","外科學科"
"1122_110132","一般外科臨床實習(二)","MDMD20265","2.00","外科學科"
"1122_110133","一般外科臨床實習(三)","MDMD20266","2.00","外科學科"
"1122_110134","整形外科臨床實習(一)","MDMD20115","2.00","外科學科"
"1122_110135","整形外科臨床實習(二)","MDMD20306","2.00","外科學科"
"1122_110136","整形外科臨床實習(三)","MDMD20307","2.00","外科學科"
"1122_110137","神經外科臨床實習(一)","MDMD20180","2.00","外科學科"
"1122_110138","神經外科臨床實習(二)","MDMD20308","2.00","外科學科"
"1122_110139","神經外科臨床實習(三)","MDMD20309","2.00","外科學科"
"1122_110140","心臟血管外科臨床實習(一)","MDMD20088","2.00","外科學科"
"1122_110141","心臟血管外科臨床實習(二)","MDMD20310","2.00","外科學科"
"1122_110142","心臟血管外科臨床實習(三)","MDMD20311","2.00","外科學科"
"1122_110143","泌尿外科臨床實習(二)","MDMD20312","2.00","泌尿學科"
"1122_110144","泌尿外科臨床實習(一)","MDMD20314","2.00","泌尿學科"
"1122_110145","泌尿外科臨床實習(三)","MDMD20313","2.00","泌尿學科"
"1122_110146","直腸外科臨床實習(一)","MDMD20170","2.00","外科學科"
"1122_110147","直腸外科臨床實習(二)","MDMD20315","2.00","外科學科"
"1122_110148","直腸外科臨床實習(三)","MDMD20316","2.00","外科學科"
"1122_110149","小兒外科臨床實習(一)","MDMD20062","2.00","外科學科"
"1122_110150","小兒外科臨床實習(二)","MDMD20317","2.00","外科學科"
"1122_110151","小兒外科臨床實習(三)","MDMD20318","2.00","外科學科"
"1122_110152","外科加護病房臨床實習(一)","MDMD20043","2.00","外科學科"
"1122_110153","外科加護病房臨床實習(二)","MDMD20319","2.00","外科學科"
"1122_110154","外科加護病房臨床實習(三)","MDMD20320","2.00","外科學科"
"1122_110155","眼科臨床實習(一)","MDMD20177","2.00","眼科學科"
"1122_110156","眼科臨床實習(二)","MDMD20321","2.00","眼科學科"
"1122_110157","眼科臨床實習(三)","MDMD20322","2.00","眼科學科"
"1122_110158","耳鼻喉科臨床實習(一)","MDMD20205","2.00","耳鼻喉學科"
"1122_110159","耳鼻喉科臨床實習(二)","MDMD20323","2.00","耳鼻喉學科"
"1122_110160","耳鼻喉科臨床實習(三)","MDMD20324","2.00","耳鼻喉學科"
"1122_110161","皮膚科臨床實習(一)","MDMD20167","2.00","皮膚學科"
"1122_110162","皮膚科臨床實習(二)","MDMD20325","2.00","皮膚學科"
"1122_110163","皮膚科臨床實習(三)","MDMD20326","2.00","皮膚學科"
"1122_110164","放射治療科臨床實習(一)","MDMD20112","2.00","放射線學科"
"1122_110165","放射治療科臨床實習(二)","MDMD20331","2.00","放射線學科"
"1122_110166","放射治療科臨床實習(三)","MDMD20332","2.00","放射線學科"
"1122_110167","放射診斷臨床實習(一)","MDMD20107","2.00","放射線學科"
"1122_110168","放射診斷臨床實習(二)","MDMD20333","2.00","放射線學科"
"1122_110169","放射診斷臨床實習(三)","MDMD20334","2.00","放射線學科"
"1122_110170","復健科臨床實習(一)","MDMD20079","2.00","復健醫學科"
"1122_110171","復健科臨床實習(二)","MDMD20335","2.00","復健醫學科"
"1122_110172","復健科臨床實習(三)","MDMD20336","2.00","復健醫學科"
"1122_110173","家庭醫學科臨床實習(一)","MDMD20056","2.00","家庭醫學科"
"1122_110174","家庭醫學科臨床實習(二)","MDMD20337","2.00","家庭醫學科"
"1122_110175","家庭醫學科臨床實習(三)","MDMD20338","2.00","家庭醫學科"
"1122_110176","麻醉科臨床實習(一)","MDMD20262","2.00","麻醉學科"
"1122_110177","麻醉科臨床實習(二)","MDMD20339","2.00","麻醉學科"
"1122_110178","麻醉科臨床實習(三)","MDMD20340","2.00","麻醉學科"
"1122_110179","病理科臨床實習(一)","MDMD20163","2.00","病理學科"
"1122_110180","病理科臨床實習(二)","MDMD20341","2.00","病理學科"
"1122_110181","病理科臨床實習(三)","MDMD20342","2.00","病理學科"
"1122_110182","核子醫學科臨床實習(一)","MDMD20130","2.00","放射線學科"
"1122_110183","核子醫學科臨床實習(二)","MDMD20327","2.00","放射線學科"
"1122_110184","核子醫學科臨床實習(三)","MDMD20328","2.00","放射線學科"
"1122_110185","呼吸治療科臨床實習(一)","MDMD20033","2.00","內科學科"
"1122_110186","呼吸治療科臨床實習(二)","MDMD20329","2.00","內科學科"
"1122_110187","呼吸治療科臨床實習(三)","MDMD20330","2.00","內科學科"
"1122_110188","傳統醫學中心臨床實習(一)","MDMD20015","2.00","醫學系"
"1122_110189","傳統醫學中心臨床實習(二)","MDMD20343","2.00","醫學系"
"1122_110190","傳統醫學中心臨床實習(三)","MDMD20344","2.00","醫學系"
"1122_110191","附醫實習","MDMD20252","4.00","醫學系"
"1122_110192","國際衛生醫療實習","MDMD20036","4.00","醫學系"
"1122_110193","醫學教育專題研究實習","MDMD20250","4.00","醫學系"
"1122_110194","專題研究實習","MDMD20061","4.00","醫學系"
"1122_110195","進階臨床核心課程(二)","MDMD20248","2.00","賴慧卿"
"1122_110196","OSCE訓練及演練課程(一)","MDMD20002","1.00","吳輔榮"
"1122_110197","急重症影像醫學","MDMD20100","1.00","吳銘庭、王柏欽、王俊傑、王威登、蔡孟原、江佳陵"
"1122_110198","實證醫學文獻評讀解析","MDMD20059","1.00","吳輔榮、朱哲生、許智揚、梁君安、簡茹君"
"1122_110199","臨床診療解析(二)","MDMD20234","2.00","吳輔榮、李欣蓉、陳逸軒、曾彥敦、張簡保昌、林虞軒、魏楷哲、郭書宏、侯姿宇、陳信佑、詹宏彬、朱志勳、劉文忠、林峻宇、王俊傑、林立德、高崧碩、江承鴻、王正斌、蔡宗憲、溫俊賢、陳映佐、陳秋帆、陳其葳、黃俞憲、李明泓、林俊堯、蔡秉中、鄭名芳、梁志光"
"1122_110200","臨床眼科學概論","MDMD20346","2.00","吳宗典"
"1122_110201","高擬真情境模擬訓練","MDMD20347","2.00","吳輔榮、林錫勳、陳瑞光、許晃譯、郭書宏、李琳、陳威宇、陳秋帆、顏伶容、蔡秉中"
"1122_110202","國家考試複習課程","MDMD20350","2.00","陳怡行、周佳滿、沈靜慧、程遠揚、陳彥如、呂俊德、陳逸群、林辰祐、楊子瑤、呂曉瑜、阮昭奎、黃永杰、林玟君、李柏昕、林宇力、黃儀倢、鄭由承、胡如娟、張婷雅"
"1122_110203","骨骼關節學","MDMD20254","1.60","蘇宇平"
"1122_110204","免疫病學","MDMD20025","1.70","陳明翰、陳怡行、龔彥穎、蔡長祐、張德明、廖顯宗、謝祖怡、陳瑋昇、陳信華、賴建志、曹彥博、孫易暄、蔡弘正"
"1122_110205","傳染病學","MDMD20018","1.20","林邑璁、李欣蓉、詹宇鈞、黃祥芬、陳昕白、吳冠陞、陳夙容、巫炳峰、張雅媛、王建淳、阮志翰、莊茜、黃柏翰"
"1122_110206","腎臟學","MDMD20221","1.30","林志慶、楊智宇、唐德成、林堯彬、劉宏祥、吳采虹、蔡明村、李國華、陳範宇、黎思源、曾偉誠"
"1122_110207","泌尿學","MDMD20157","1.30","林子平、黃志賢、林登龍、陳光國、張心湜、盧星華、邱文祥、吳東霖、劉裕明、林志杰、范玉華、黃奕燊、魏子鈞、黃子豪、顧明軒、蔡承翰、黃逸修、鍾孝仁"
"1122_110208","血液學","MDMD20246","1.20","蕭樑材、劉嘉仁、高志平、劉耀中、簡聖軒、王浩元、柯博伸、林庭安、陳玟均、蔡淳光、高冠鈞、許德麟"
"1122_110209","醫學腫瘤學","MDMD20251","1.10","楊慕華、劉峻宇、陳博明、顏厥全、鄧豪偉、陳明晃、趙大中、洪逸平、姜乃榕、陳三奇、陳天華"
"1122_110210","影像診斷學","MDMD20075","0.50","凌憬峰、沈書慧、邱宏仁、吳宏達"
"1122_110211","放射治療學","MDMD20110","0.20","藍耿立、黃品逸、陳一瑋、賴姿妤"
"1122_110212","核子醫學","MDMD20128","0.30","彭南靖、黃文盛、王昱豐、胡蓮欣、林可瀚"
"1122_110213","復健醫學","MDMD00002","0.50","高崇蘭、蔡泊意、孫淑芬、潘柏榮、程遠揚、劉鼎浩"
"1122_110214","基礎醫學總論","MDMD20038","2.00","凌憬峰、吳鈺琳、阮琪昌、李怡萱、陳紀如、嚴錦城、徐嘉琳、陳威儀、王琬菁、嵇達德、張原翊、吳莉玲、高正彥、邱美妙"
"1122_110215","醫師工程師專題研究","MDMD10123","1.00","楊智傑、孫家偉、廖育德、陳冠宇、黃敬群、鄭耿璽、魏群樹"
"1122_110216","心靈成長(四)","MDMD10035","1.00","尹彙文"
"1122_110217","心靈成長(二)","MDMD10034","1.00","楊懷哲"
"1122_110218","導師時間","MDMD10020","0.00","凌憬峰"
"1122_110219","基礎臨床技能訓練課程(二)","MDMD20040","1.50","楊盈盈"
"1122_110220","導師時間","MDMD10020","0.00","凌憬峰"
"1122_110221","整合醫學暨中醫學現代進展","MDMD10040","2.00","龔彥穎"
"1122_111500","生物化學","DEDE10046","4.00","黎萬君、林姝君、洪善鈴、羅正汎、涂曦丰、林怡?"
"1122_111501","普通物理學","DEDE10026","3.00","黃何雄、郭文娟、邱爾德"
"1122_111502","社區口腔衛生專業服務學習","DEDE00001","0.00","王鼎涵、許明倫"
"1122_111503","導師時間(二)","DEDE10068","1.00","洪善鈴"
"1122_111504","導師時間(二)","DEDE10069","1.00","林嘉澍"
"1122_111505","導師時間(二)","DEDE10070","1.00","黎萬君"
"1122_111506","導師時間(二)","DEDE10071","1.00","陳恆理"
"1122_111507","導師時間(二)","DEDE10072","1.00","張景智"
"1122_111508","牙體形態學實驗","DEDE10038","2.00","耿藝文、林嘉澍、吳靜宜、林宥成、陳瓊芬"
"1122_111509","導師時間(四)","DEDE10073","1.00","吳靜宜"
"1122_111510","導師時間(四)","DEDE10074","1.00","林元敏"
"1122_111511","導師時間(四)","DEDE10075","1.00","王敏靜"
"1122_111512","導師時間(四)","DEDE10076","1.00","陳瓊芬"
"1122_111513","導師時間(四)","DEDE10077","1.00","吳姿瑩"
"1122_111514","口腔病理學","DEDE10007","2.00","張國威、夏堪臺、吳靜宜、張蓮鈺、李立慈、李佳錚"
"1122_111515","口腔病理學實驗","DEDE10008","1.00","張國威、夏堪臺、吳靜宜"
"1122_111516","口腔解剖學","DEDE10011","0.70","楊政杰、涂曦丰、林宥成、高壽延、羅文良、吳政憲、吳和泰"
"1122_111517","口腔解剖學實驗","DEDE20051","0.50","楊政杰、涂曦丰、林宥成、高壽延、吳政憲、于恩浩、吳和泰、邱昱瑋"
"1122_111518","牙科公共衛生學","DEDE10035","1.00","季麟揚、陳彥廷、姚振華、黃大森、黃耀慧、陳信銘、林伯彥"
"1122_111519","牙科麻醉學","DEDE10036","1.00","雷文天、張哲壽、羅文良、吳政憲、蕭應良、鄒樂起、袁懷璧、張文貴"
"1122_111520","牙科藥理學","DEDE10037","1.00","張婷菡、林鈞盛、鄭介原"
"1122_111521","牙體復形學","DEDE10040","2.00","陳江雲"
"1122_111522","牙體復形學實驗","DEDE10041","3.00","陳江雲"
"1122_111523","咬合學","DEDE10014","2.00","許明倫、林嘉澍、張景智、陳岱茜、黃柏元、張志麟、陳正毅、張采宇"
"1122_111524","咬合學實驗","DEDE10015","2.00","許明倫、林嘉澍、耿藝文、張景智、黃柏元、姚光大、張采宇"
"1122_111525","導師時間","DEDE10020","0.00","林姝君"
"1122_111526","導師時間","DEDE10020","0.00","洪凱風"
"1122_111527","導師時間","DEDE10020","0.00","羅正汎"
"1122_111528","導師時間","DEDE10020","0.00","張婷菡"
"1122_111529","導師時間","DEDE10020","0.00","林宥成"
"1122_111530","血液學","DEDE20042","1.00","高志平、劉俊煌、劉嘉仁、劉耀中、簡聖軒、王浩元、柯博伸、林庭安、陳玟均、蔡淳光、許德麟、蕭樑材"
"1122_111531","耳鼻喉科學","DEDE20039","2.00","戴世光、藍敏瑛、廖文輝、鄭彥甫、黃啟原、許彥彬、趙勻廷、葉建甫、楊宗翰、黃毓雯、洪莉婷、王懋哲、李宗倫、張嘉帆、簡珮如"
"1122_111532","牙周病學","DEDE20026","2.00","賴玉玲、洪善鈴、陳恆理、董醒任、陳彥廷、林怡君、黃惠華、陳軒弘"
"1122_111533","牙周病學實驗","DEDE20027","1.00","賴玉玲、陳恆理、董醒任、陳彥廷、林怡君、黃惠華、陳軒弘"
"1122_111534","全口贗復學","DEDE20007","2.00","許明倫、張志麟、姚光大、謝旻杰"
"1122_111535","全口贗復學實驗","DEDE20008","2.00","許明倫、耿藝文、張景智、張志麟、謝旻杰、林慧觀、楊博雅、許文瑛、黃籌永"
"1122_111536","固定贗復學","DEDE20014","2.00","李士元、陳恆理、董愛康、王君?、葉聖威、洪振元、謝昀伶、陳信宏"
"1122_111537","固定贗復學實驗","DEDE20015","2.00","李士元、林元敏、王君?、陳信宏"
"1122_111538","導師時間","DEDE10020","0.00","林怡?"
"1122_111539","導師時間","DEDE10020","0.00","張志麟"
"1122_111540","導師時間","DEDE10020","0.00","黃何雄"
"1122_111541","導師時間","DEDE10020","0.00","季麟揚"
"1122_111542","導師時間","DEDE10020","0.00","涂曦丰"
"1122_111543","法醫學","DEDE20024","1.00","蕭開平"
"1122_111544","口腔植體學","DEDE20009","2.00","許明倫、陳恆理、羅文良、楊淑芬、張志麟、陳正毅、謝昀伶、許綺真、陳青青、楊書維、張毓靜、何家銘"
"1122_111545","牙科臨床病理討論","DEDE20031","1.00","洪凱風、許明倫、涂曦丰、賴玉玲、劉正芬、楊淑芬、徐永儀、李亞芸、黃正峰、白勝方、于恩浩、林怡君、董愛康、吳姿瑩、吳詩韻、王敏靜、何怡青、陳正毅、黃惠華、葉聖威、洪振元、游依璇、蔡佳倫、陳大中"
"1122_111546","牙醫倫理學","DEDE20029","1.00","許明倫、季麟揚、賴玉玲、羅文良、楊淑芬、林孝義、吳姿瑩、何怡青、鄧政雄、張采宇、何家銘"
"1122_111547","齒顎矯正學","DEDE20045","2.00","吳姿瑩、胡兆仁、游依璇、梁祐銘、許文瑛"
"1122_111548","齒顎矯正學實驗","DEDE20046","1.00","吳姿瑩、游依璇、梁祐銘"
"1122_111549","口腔醫學專題論文","DEDE10006","2.00","洪善鈴"
"1122_111550","數位牙醫學","DEDE20023","2.00","林元敏、游依璇、曾知雋"
"1122_111551","導師時間","DEDE10020","0.00","耿藝文"
"1122_111552","導師時間","DEDE10020","0.00","李士元"
"1122_111553","導師時間","DEDE10020","0.00","夏堪臺"
"1122_111554","導師時間","DEDE10020","0.00","王鼎涵"
"1122_111555","導師時間","DEDE10020","0.00","黃惠華"
"1122_111556","兒童牙科學臨床實習","DEDE20003","4.00","牙醫系"
"1122_111557","內外科實習","DEDE20004","4.00","牙醫系"
"1122_111558","全口贗復學臨床實習","DEDE20006","4.00","牙醫系"
"1122_111559","口腔診斷學與放射線學臨床實習","DEDE20056","2.00","牙醫系"
"1122_111560","口腔顎面外科學臨床實習","DEDE20013","8.00","牙醫系"
"1122_111561","固定贗復學臨床實習","DEDE20016","4.00","牙醫系"
"1122_111562","家庭社區與特殊需求牙醫學實習","DEDE20018","4.00","牙醫系"
"1122_111563","局部贗復學臨床實習","DEDE20052","4.00","牙醫系"
"1122_111564","牙周病學臨床實習","DEDE20028","4.00","牙醫系"
"1122_111565","牙髓病學臨床實習","DEDE20035","4.00","牙醫系"
"1122_111566","牙體復形學臨床實習","DEDE20036","4.00","牙醫系"
"1122_111567","齒顎矯正學臨床實習","DEDE20047","4.00","牙醫系"
"1122_111568","口腔顎面外科學","DEDE20049","3.00","高壽延、楊政杰、涂曦丰、劉崇基、蔣維凡、羅文良、劉巡宇、洪凱風、吳政憲、成函潔、劉子綸、何翊芸"
"1122_111569","牙科技術觀摩","DEDE20058","2.00","賴玉玲、李士元、張國威、陳恆理、楊政杰、耿藝文、張景智、高壽延、羅文良、施文宇、洪凱風、楊淑芬、吳政憲、林怡君、董愛康、吳姿瑩、吳詩韻、何怡青、陳江雲、楊子彰、葉聖威、陳軒弘、梁祐銘、成函潔、謝春怡、蔡佳倫、鄭冬慧"
"1122_111570","牙科生物醫學基礎","DEDE10065","1.00","林嘉澍、吳靜宜、林宥成、王鼎涵、張婷菡"
"1122_111571","普通生物學(下)","DEDE10025","2.00","俞震亞、羅清維、黃雪莉、陳燕彰、可文亞、吳如蕙"
"1122_111572","牙醫臨床技能學","DEDE20054","1.00","楊政杰、涂曦丰"
"1122_111800","健康政策､法令與策略","NSDN20002","2.00","黃淑鶴、陳怡如、陳俞琪、楊秋月、楊曼華、林承霈、尹祚芊、程尤美"
